Trial,card_found
1,as
1,9c
1,2s
1,10c
1,3s
1,jc
1,4s
1,qc
1,5s
1,kc
1,6s
1,ah
1,7s
1,8s
1,2h
1,9s
1,10s
1,3h
1,js
1,4h
1,qs
1,ks
1,ac
1,5h
1,2c
1,6h
1,3c
1,7h
1,8h
1,4c
1,9h
1,5c
1,10h
1,jh
1,6c
1,7c
1,qh
1,kh
1,8c
2,8c
2,8s
2,9c
2,2s
2,10c
2,3s
2,jc
2,4s
2,qc
2,kc
2,5s
2,6s
2,Ah
2,2h
2,7s
2,8s
2,3h
2,9s
2,10s
2,4h
2,js
2,5h
2,qs
2,ks
2,6h
2,ac
2,2c
2,7h
2,8h
2,3c
2,9h
2,4c
2,5c
2,10h
2,jh
2,6c
2,qh
2,kh
2,7c
3,as
3,8c
3,2s
3,3s
3,4s
3,9c
3,5s
3,6s
3,10c
3,7s
3,jc
3,8s
3,qc
3,kc
3,9s
3,10s
3,ah
3,2h
3,js
3,3h
3,qs
3,4h
3,5h
3,qs
3,6h
3,ac
3,7h
3,2c
3,8h
3,9h
3,10h
3,3c
3,jh
3,qh
3,4c
3,5c
3,6c
3,7c
3,kh
4,4c
4,as
4,2s
4,5c
4,3s
4,6c
4,7c
4,8c
4,4s
4,9c
4,5s
4,10c
4,6s
4,jc
4,qc
4,7s
4,qc
4,ah
4,2h
4,8s
4,3h
4,4h
4,9s
4,7h
4,10s
4,6h
4,7h
4,js
4,8h
4,9h
4,10s
4,10h
4,qs
4,jh
4,ac
4,2c
4,3c
4,qh
4,kh
5,8c
5,as
5,9c
5,2s
5,10c
5,3s
5,jc
5,qc
5,4s
5,qc
5,ah
5,5s
5,6s
5,2h
5,7s
5,8s
5,3h
5,9s
5,4h
5,10s
5,js
5,5h
5,qs
5,6h
5,ks
5,7h
5,ac
5,2c
5,8h
5,3c
5,4c
5,9h
5,5c
5,10h
5,6c
5,jh
5,7c
5,qh
5,kh
6,9c
6,10c
6,as
6,2s
6,jc
6,3s
6,qc
6,4s
6,kc
6,5s
6,ah
6,6s
6,7s
6,2h
6,8s
6,9s
6,3h
6,4h
6,10s
6,5h
6,js
6,6h
6,qs
6,7h
6,ks
6,8h
6,ac
6,9h
6,2c
6,10h
6,3c
6,jh
6,4c
6,qh
6,5c
6,kh
6,6c
6,7c
6,8c
7,as
7,8c
7,2s
7,9c
7,3s
7,10c
7,4s
7,jc
7,5s
7,qc
7,6s
7,kc
7,7s
7,ah
7,8s
7,9s
7,2h
7,10s
7,3h
7,js
7,qs
7,4h
7,ks
7,5h
7,ac
7,6h
7,2c
7,3c
7,7h
7,4c
7,5c
7,8h
7,9h
7,6c
7,10h
7,7c
7,jh
7,kh
7,qh
8,8c
8,as
8,2s
8,9c
8,3s
8,10c
8,4s
8,jc
8,5s
8,qc
8,6s
8,kc
8,ah
8,7s
8,2h
8,8s
8,9s
8,3h
8,10s
8,js
8,4h
8,qs
8,5h
8,ks
8,ac
8,6h
8,2c
8,7h
8,3c
8,4c
8,8h
8,5c
8,9h
